exp_id,timestamp,number_of_points,noise_coeff,pinn_collocation_points,parameter_discovery_collocation_points,pinn_loss2_weight,parameter_discovery_loss_2_weight,pinn_epochs,parameter_discovery_epochs,R_true,R_discovered,R_error_pct,pinn_final_loss,assets_folder
exp1,2026-04-12T10:35:55,10,2,1000,1000,1,1,30000,40000,0.005,0.004404547158628702,11.9091,0.2232,results/assets/exp1
exp2,2026-04-12T11:13:55,10,2,1000,1000,1,0.1,30000,40000,0.005,-0.00031958206091076136,106.3916,0.178128,results/assets/exp2
exp3,2026-04-12T11:16:23,10,2,1000,1000,1,0.5,30000,40000,0.005,0.004762934986501932,4.7413,0.245409,results/assets/exp3
exp4,2026-04-12T11:18:46,10,2,1000,1000,1,1.5,30000,40000,0.005,0.004494784399867058,10.1043,0.208739,results/assets/exp4
exp5,2026-04-12T11:21:32,10,2,1000,1000,1,2.0,30000,40000,0.005,0.0045510027557611465,8.9799,0.223561,results/assets/exp5
exp6,2026-04-12T11:28:21,10,2,100,100,1,1,30000,40000,0.005,0.0054441350512206554,8.8827,0.328257,results/assets/exp6
exp7,2026-04-12T11:29:46,10,2,50,50,1,1,30000,40000,0.005,0.0056513650342822075,13.0273,0.354313,results/assets/exp7
exp8,2026-04-12T11:31:31,10,2,20,20,1,1,30000,40000,0.005,0.004549279808998108,9.0144,0.35397,results/assets/exp8
exp9,2026-04-12T11:32:38,10,2,10,10,1,1,30000,40000,0.005,0.004900255240499973,1.9949,0.335859,results/assets/exp9
exp10,2026-04-12T11:37:22,10,2,1250,1250,1,1,30000,40000,0.005,0.004979852121323347,0.403,0.232719,results/assets/exp10
exp11,2026-04-12T11:38:09,10,2,1500,1500,1,1,30000,40000,0.005,0.00492714112624526,1.4572,0.34345,results/assets/exp11
exp12,2026-04-12T11:40:19,10,2,1750,1750,1,1,30000,40000,0.005,0.005066235549747944,1.3247,0.220757,results/assets/exp12
exp13,2026-04-12T11:41:44,10,2,2000,2000,1,1,30000,40000,0.005,0.005356613080948591,7.1323,0.356366,results/assets/exp13
exp14,2026-04-12T16:25:26,25,2,1000,1000,1,1,30000,40000,0.005,0.0005141173023730516,89.7177,2.163401,results/assets/exp14
exp15,2026-04-12T16:26:26,50,2,1000,1000,1,1,30000,40000,0.005,0.004537348635494709,9.253,2.483153,results/assets/exp15
exp16,2026-04-12T16:27:30,75,2,1000,1000,1,1,30000,40000,0.005,0.004662942606955767,6.7411,2.478539,results/assets/exp16
exp17,2026-04-12T16:28:42,100,2,1000,1000,1,1,30000,40000,0.005,0.0053733885288238525,7.4678,3.39906,results/assets/exp17
exp18,2026-04-12T16:31:45,150,2,1000,1000,1,1,30000,40000,0.005,0.0006733784102834761,86.5324,3.622779,results/assets/exp18
exp19,2026-04-17T16:27:45,10,2,1000,1000,1,1,30000,40000,0.005,0.004404547158628702,11.9091,0.2232,results/assets/exp19
